Community,mean_monthly_jsd,median_monthly_jsd,max_monthly_jsd,n_transitions,jsd_pre_covid,jsd_covid_post,jsd_pre_post,shift_type,acs_year,total_population,occupied_housing_units,total_housing_units,poverty_rate,unemployment_rate,bachelors_plus_rate,renter_rate,owner_rate,vacancy_rate,white_non_hispanic_rate,black_non_hispanic_rate,asian_non_hispanic_rate,hispanic_rate,median_household_income_approx,volatility_group
20,0.19562605079031098,0.1842488514367878,0.30279372749931527,71.0,0.054654933129439746,0.11963340920473718,0.12881892191317226,Low change,2023,57181,20053,21542,0.1583503054989816,0.0562044753592755,0.2652800916284881,0.5693911135490949,0.4306088864509051,0.0691207872992294,0.1620818103915636,0.0561200398733845,0.0255154684248264,0.7417673702803379,69053.2787612826,Mid-high
21,0.16199800368819434,0.15746466925336383,0.24618759101752655,71.0,0.044788220382410975,0.0746046470942782,0.07429456984130162,Low change,2023,82984,35209,38006,0.1208476448241962,0.0545557548862241,0.4979177894272696,0.5714163992161095,0.4285836007838904,0.0735936431089828,0.4130675792923937,0.0297045213535139,0.0579027282367685,0.4626675021690928,93142.39992615524,Mid-high
22,0.10903292548096648,0.10935009934267767,0.19748693538794357,71.0,0.05052723297514905,0.10666915652868746,0.1076094585855659,Low change,2023,142407,61503,66946,0.1128406590306381,0.0437279629669687,0.5857596233571912,0.5696795278279109,0.4303204721720892,0.0813043348370328,0.4743516821504561,0.0507348655613839,0.0461634610658183,0.389959763213887,113583.09931222867,Low
23,0.09653853943058617,0.08866164401825885,0.16571359360864435,71.0,0.0930276581605478,0.10253862307087934,0.15585846565797087,Delayed shift,2023,75688,27423,30208,0.2518351363907878,0.0937697326878551,0.2833647664821236,0.6192612040987492,0.3807387959012507,0.0921941207627118,0.1601574886375647,0.321662614945566,0.0239139625832364,0.4734568227460099,62005.56982266083,Low
24,0.09551831910533819,0.09004913841797482,0.21914522915381993,71.0,0.06683749877573059,0.06573365446734813,0.11666324055501545,Low change,2023,151769,77331,83010,0.0922562710966973,0.0359858991106418,0.7422580671387572,0.5994879155836599,0.4005120844163402,0.0684134441633538,0.6148818269870658,0.0831526859898925,0.0635044047203315,0.1865071259611646,137022.70462039803,Low
25,0.06758849264965604,0.0651012926363252,0.14233156773059882,71.0,0.09803996556529679,0.08328158810590386,0.12498142881969379,Low change,2023,209891,73767,80517,0.1925490139253162,0.1089224215157366,0.2266470832030596,0.5353884528312118,0.4646115471687882,0.083833227765565,0.1618030310970932,0.4558937734347828,0.0163894592907747,0.3463512013378372,67177.83077799015,Low
26,0.12726472113543086,0.1258815241293862,0.20725578651232116,71.0,0.11325615256461483,0.07637107118153726,0.15662180148311938,Persistent shift,2023,39872,14790,17585,0.3217987843325178,0.1933134533776809,0.1148680864589955,0.7031778228532792,0.2968221771467207,0.1589422803525732,0.0339837479935794,0.7862409711075441,0.0079755216693418,0.1663071829855537,37833.20501361637,Mid-low
27,0.11316451598608694,0.11117389479545992,0.16355025171212884,71.0,0.07664343148042996,0.10875961684461909,0.1460510326631799,Low change,2023,44923,17673,20449,0.3480569362855852,0.1559560742601073,0.2223868766585105,0.7405647032196006,0.2594352967803995,0.1357523595285833,0.0765086926518709,0.7487255971328718,0.0152928344055383,0.1425550386216414,38398.27810784813,Mid-low
28,0.0814899651156604,0.07452399364014436,0.17226274061644026,71.0,0.08765355578915726,0.05801751089718099,0.1056745843173181,Low change,2023,144274,72796,79852,0.1409513261607502,0.0714168730935369,0.6640183373971489,0.6528518050442332,0.3471481949557668,0.0883634724239843,0.4150089413199883,0.1658788139235066,0.1328028612223962,0.2422335278705795,113220.3375008951,Low
29,0.09507393375867883,0.09273808640186744,0.15845987877320014,71.0,0.14066846553449552,0.07133527896613008,0.1817475241915202,Persistent shift,2023,85345,31921,36959,0.25546056621048,0.0997810836360017,0.1819670976151055,0.673130541023151,0.3268694589768491,0.1363132119375524,0.0738297498388892,0.4585740230827816,0.0122327025601968,0.4411506239381335,50504.62711067949,Low
3,0.12764331335261486,0.12512091906615513,0.20206063936181762,71.0,0.051587079587298613,0.08225400614879233,0.08921466285668672,Low change,2023,92582,53031,57785,0.1647895216851451,0.0456285647316196,0.6510758702375469,0.6853727065301427,0.3146272934698572,0.0822704854200917,0.5653474757512259,0.157428009764317,0.0950940787626104,0.1323367393229785,76831.49593633912,Mid-low
30,0.11534516609376493,0.1154957833043224,0.17603289814411824,71.0,0.1127118833396607,0.05979813753967927,0.1244946092569087,Temporary disruption,2023,101191,32166,35304,0.202435098257403,0.0774025285120679,0.1548154815481548,0.559814711185724,0.4401852888142759,0.0888851121685928,0.072585506616201,0.1341621290430967,0.0198930734946783,0.7682995523317291,57797.13567120562,Mid-low
31,0.15490381395904487,0.15210003920729998,0.2557624578449444,71.0,0.06656673169690946,0.07570804310329245,0.11389339617458497,Low change,2023,73546,26785,29072,0.1796728302727475,0.0740495078400679,0.3409335589049523,0.5888743699831995,0.4111256300168004,0.0786667583929554,0.2021591928860849,0.1648764038832839,0.2131591113044897,0.3936447937345335,71394.77435131604,Mid-low
32,0.10174168187266266,0.08811547143006798,0.300391090430301,71.0,0.1660584779047532,0.06904098987706862,0.14933769897098767,Persistent shift,2023,112401,65679,74171,0.0810265309779584,0.0564839245578031,0.8518364549509567,0.6322416601958007,0.3677583398041992,0.1144921869733453,0.5286162934493466,0.1022499799823845,0.2159233458777057,0.1081662974528696,131057.53593995036,Low
33,0.15954602370244977,0.15626470833326628,0.30589332066808855,71.0,0.1198351344999643,0.08647504404943981,0.16365638834748183,Persistent shift,2023,57794,29442,31599,0.1308491410001278,0.0633039023326793,0.6994723251375323,0.5617824876027444,0.4382175123972556,0.0682616538498053,0.3778592933522511,0.2055922760148112,0.2788697788697789,0.0936083330449527,107203.26710141974,Mid-high
34,0.2326046621370115,0.22475429729196555,0.36746471769865136,71.0,0.11866191151814229,0.058270253151061685,0.12204066586005151,Temporary disruption,2023,41350,16507,17740,0.2477681393996105,0.1075756844189078,0.3533340290097047,0.5790270794208517,0.4209729205791482,0.0695039458850056,0.2106408706166868,0.2735187424425634,0.3592261185006046,0.1043530834340991,63316.39080390138,High
35,0.14265913227614085,0.13609725415558924,0.23530071940521566,71.0,0.10139522557709078,0.13079128358697067,0.17924443930457035,Delayed shift,2023,44142,20218,21429,0.2915126528291157,0.1307855430573483,0.3699559059326563,0.7631318626966069,0.236868137303393,0.0565122030892715,0.1073127633546282,0.5376738706900458,0.2437361243260387,0.0463957228942956,46981.72894168467,Mid-low
36,0.2586666469014186,0.25873804641259623,0.3655304091803499,71.0,0.07437078546516313,0.17627145619914092,0.19216176742916424,Delayed shift,2023,25839,13635,14623,0.2921029074066866,0.1471780480199563,0.4174932865676549,0.7393472680601394,0.2606527319398606,0.0675647951856664,0.0623089128836255,0.8114478114478114,0.0317736754518363,0.0445837687216997,49574.21972648156,High
37,0.27116640402209485,0.2754397384645914,0.4044694028926441,71.0,0.13452027034094732,0.11154957869182278,0.16521271318302536,Persistent shift,2023,23164,9004,10215,0.2964582422387407,0.1597633136094674,0.230963808535478,0.6534873389604621,0.346512661039538,0.1185511502692119,0.1769987912277672,0.5402348471766534,0.0493438093593507,0.167371783802452,50566.37316748112,High
38,0.1286441492070521,0.1281575466863015,0.21716232808450217,71.0,0.10313090340738193,0.11804953610849638,0.17067171941289122,Persistent shift,2023,50730,24150,26913,0.3203176309033375,0.1792915093581814,0.3370880871025656,0.7351966873706004,0.2648033126293996,0.1026641400066882,0.0584663906958407,0.8293317563571851,0.0072343780800315,0.051665681056574,44000.92655488066,Mid-low
39,0.18925155207451802,0.1830654023304533,0.3482453113770087,71.0,0.07997760416765726,0.11268164924633006,0.14116150151828405,Low change,2023,32474,17185,19227,0.2357370851281415,0.0955979922690821,0.5578638851773631,0.6539423916205993,0.3460576083794006,0.1062048161439642,0.1615446203116339,0.6795282379749954,0.0516721069163022,0.0461907987928804,59671.58351131995,Mid-high
