node_id,state_id,state_label,density,n_samples,period_majority,period_majority_share,community_majority,dominant_crime_majority,mean_year,mean_arrest_rate,mean_domestic_rate,mean_poverty_rate,mean_unemployment_rate,mean_median_household_income_approx
cube67_cluster0,10,State 10,323.6693229511445,45,COVID,0.6444444444444445,73,BATTERY,2020.0444444444445,0.14291926976518352,0.25706519326089144,0.2282905551259298,0.134833858483386,49091.415647385984
cube177_cluster0,17,State 17,313.7619337131184,51,Post-COVID,0.6666666666666666,2,THEFT,2021.7254901960785,0.08218405848244459,0.1367105304493527,0.13157831343809442,0.06389109642146872,86722.30032546824
cube93_cluster0,9,State 09,303.73414076334814,48,Pre-COVID,0.6875,20,THEFT,2019.3333333333333,0.18472920534305537,0.22960552403586587,0.20149914414476314,0.11825220310709815,52300.40993923842
cube98_cluster0,15,State 15,298.2056114707528,48,COVID,0.5625,19,BATTERY,2020.3333333333333,0.12417974198306965,0.22890116113057357,0.19394733312877568,0.10729915731315494,56015.65109511649
cube152_cluster0,6,State 06,297.42836607721193,51,Pre-COVID,0.7254901960784313,3,THEFT,2019.313725490196,0.15518251981945583,0.1647972579761078,0.14507386453926965,0.06013260835168465,68006.10616782978
cube192_cluster0,17,State 17,268.44335873136316,46,Post-COVID,0.5217391304347826,11,THEFT,2021.3695652173913,0.07294436147906123,0.13558094602108287,0.12322043678653577,0.0629723458891212,89182.46115396582
cube216_cluster0,17,State 17,258.81420351862823,48,Pre-COVID,0.4791666666666667,7,THEFT,2019.5833333333333,0.08222150582967505,0.0833452549926047,0.09042327839822051,0.04111751324893825,104261.76158962189
cube36_cluster0,3,State 03,257.4838203186334,35,COVID,0.5142857142857142,25,BATTERY,2020.3428571428572,0.1594432631814382,0.28864552191635595,0.24853030586039493,0.14626603618601688,46352.430911913245
cube217_cluster0,17,State 17,240.1796940863063,48,Pre-COVID,0.375,5,THEFT,2020.125,0.07661955078747512,0.09286773699154999,0.09715411246184226,0.045886285227562405,99318.84353809692
cube219_cluster0,17,State 17,238.63124569317216,42,COVID,0.4523809523809524,6,THEFT,2020.7857142857142,0.06809718793772343,0.07727966302225664,0.09614976476550205,0.04550312118173419,107956.57693929404
cube221_cluster0,12,State 12,206.94379123019945,38,Post-COVID,0.631578947368421,7,THEFT,2021.421052631579,0.057614865218349104,0.07555721244457891,0.09850432258632702,0.04436727205789187,109430.08754504695
cube222_cluster0,12,State 12,137.11195136314817,25,Post-COVID,0.56,7,THEFT,2021.64,0.05505788235612189,0.07042182821160649,0.0913791764247987,0.045899673077796896,114694.5882601706
cube223_cluster0,12,State 12,60.03026303311201,12,Post-COVID,0.5,7,THEFT,2021.5833333333333,0.05301329480041609,0.07499123614721957,0.09050218899240174,0.044685851567665545,109859.13203593495
cube224_cluster0,12,State 12,23.94542467148264,5,Post-COVID,0.8,5,THEFT,2021.8,0.0631156277763991,0.06902545501125797,0.11076583436157814,0.05209589268664311,95936.51579198487
