Community,state_id,lag_months,correlation,n_start_points
10,16,34,0.0,1
10,16,35,0.0,1
10,16,36,0.0,1
10,17,1,0.4144144144144144,33
10,17,2,0.44144144144144143,33
10,17,3,0.411214953271028,32
10,17,4,0.2616822429906542,32
10,17,5,0.3786407766990291,31
10,17,6,0.36633663366336633,30
10,17,7,0.46534653465346537,30
10,17,8,0.40404040404040403,29
10,17,9,0.3838383838383838,29
10,17,10,0.3333333333333333,29
10,17,11,0.3484848484848485,29
10,17,12,0.3333333333333333,29
10,17,13,0.36082474226804123,28
10,17,14,0.3655913978494624,27
10,17,15,0.4101123595505618,26
10,17,16,0.4,25
10,17,17,0.4567901234567901,24
10,17,18,0.4506172839506173,24
10,17,19,0.4567901234567901,24
10,17,20,0.38311688311688313,23
10,17,21,0.45454545454545453,23
10,17,22,0.4520547945205479,22
10,17,23,0.34782608695652173,21
10,17,24,0.5217391304347826,21
10,17,25,0.38405797101449274,21
10,17,26,0.4420289855072464,21
10,17,27,0.4420289855072464,21
10,17,28,0.391304347826087,21
10,17,29,0.4927536231884058,21
10,17,30,0.4153846153846154,20
10,17,31,0.5461538461538461,20
10,17,32,0.5081967213114754,19
10,17,33,0.4083333333333333,18
10,17,34,0.44642857142857145,17
10,17,35,0.40384615384615385,16
10,17,36,0.28846153846153844,16
10,18,1,0.0,4
10,18,2,0.0,4
10,18,3,0.25,4
10,18,4,0.0,3
10,18,5,0.0,3
10,18,6,0.0,3
10,18,7,0.0,3
10,18,8,0.0,3
10,18,9,0.0,3
10,18,10,0.0,3
10,18,11,0.0,3
10,18,12,0.0,3
10,18,13,0.0,3
10,18,14,0.0,3
10,18,15,0.0,3
10,18,16,0.0,3
10,18,17,0.0,3
10,18,18,0.0,3
10,18,19,0.0,3
10,18,20,0.0,3
10,18,21,0.6666666666666666,3
10,18,22,0.0,3
10,18,23,0.0,3
10,18,24,0.6666666666666666,3
10,18,25,0.0,2
10,18,26,0.0,2
10,18,27,0.0,2
10,18,28,0.0,1
10,18,29,0.0,1
10,18,30,0.0,1
10,18,31,0.0,1
10,18,32,0.0,1
10,18,33,0.0,1
10,18,34,0.0,1
10,18,35,0.0,1
10,18,36,0.0,1
11,1,1,0.20689655172413796,7
11,1,2,0.034482758620689655,7
11,1,3,0.10344827586206898,7
11,1,4,0.20689655172413796,7
11,1,5,0.10344827586206898,7
11,1,6,0.10344827586206898,7
11,1,7,0.0,7
11,1,8,0.05172413793103449,7
11,1,9,0.0,7
11,1,10,0.20689655172413796,7
11,1,11,0.20689655172413796,7
11,1,12,0.06896551724137931,7
11,1,13,0.0,7
11,1,14,0.20689655172413796,7
11,1,15,0.0,6
11,1,16,0.0,6
11,1,17,0.0,6
11,1,18,0.05,5
11,1,19,0.0,4
11,1,20,0.10714285714285715,4
11,1,21,0.0,4
11,1,22,0.14285714285714288,4
11,1,23,0.18181818181818182,3
11,1,24,0.27272727272727276,3
11,1,25,0.27272727272727276,3
11,1,26,0.09090909090909091,3
11,1,27,0.0,3
11,1,28,0.13636363636363638,3
11,1,29,0.0,2
11,1,30,0.0,2
11,1,31,0.0,2
11,1,32,0.0,2
11,1,33,0.0,2
11,1,34,0.0,2
11,1,35,0.0,2
11,1,36,0.0,2
11,2,1,0.21428571428571427,10
11,2,2,0.026785714285714284,10
11,2,3,0.0,10
11,2,4,0.017857142857142856,10
11,2,5,0.0,10
11,2,6,0.21428571428571427,10
11,2,7,0.3076923076923077,9
11,2,8,0.0,8
11,2,9,0.0,8
