index,Community,YMonth,Year,Month,Period,ASSAULT,BATTERY,BURGLARY,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,MOTOR VEHICLE THEFT,NARCOTICS,OTHER CRIMES,OTHER OFFENSE,PUBLIC ORDER,ROBBERY,SEXUAL CRIMES,THEFT,WEAPONS VIOLATION,dominantCrime,dominantCrimeShare,arrestRate,domesticRate,acs_year,sample_idx,date,state_id,state_weight
2480,40,202009,2020,09,COVID,0.145985401459854,0.1386861313868613,0.014598540145985401,0.10948905109489052,0.014598540145985401,0.051094890510948905,0.08029197080291971,0.014598540145985401,0.0364963503649635,0.11678832116788321,0.014598540145985401,0.021897810218978103,0.014598540145985401,0.20437956204379562,0.021897810218978103,THEFT,0.20437956204379562,0.072992700729927,0.3284671532846715,2021,2480,2020-09-01,0,1.0
2481,40,202010,2020,10,COVID,0.04093567251461988,0.26900584795321636,0.017543859649122806,0.15204678362573099,0.005847953216374269,0.0935672514619883,0.05847953216374269,0.023391812865497075,0.005847953216374269,0.06432748538011696,0.0,0.04093567251461988,0.029239766081871343,0.1286549707602339,0.07017543859649122,BATTERY,0.26900584795321636,0.1111111111111111,0.3391812865497076,2021,2481,2020-10-01,14,1.0
2482,40,202011,2020,11,COVID,0.11688311688311688,0.2792207792207792,0.01948051948051948,0.14285714285714285,0.01948051948051948,0.05844155844155844,0.05194805194805195,0.006493506493506494,0.01948051948051948,0.07792207792207792,0.006493506493506494,0.025974025974025976,0.006493506493506494,0.11688311688311688,0.05194805194805195,BATTERY,0.2792207792207792,0.1038961038961039,0.37662337662337664,2021,2482,2020-11-01,14,1.0
2483,40,202012,2020,12,COVID,0.1282051282051282,0.25,0.01282051282051282,0.10897435897435898,0.02564102564102564,0.0641025641025641,0.12179487179487179,0.00641025641025641,0.05128205128205128,0.07051282051282051,0.00641025641025641,0.038461538461538464,0.00641025641025641,0.07692307692307693,0.03205128205128205,BATTERY,0.25,0.12179487179487179,0.40384615384615385,2021,2483,2020-12-01,8,1.0
2484,40,202101,2021,01,COVID,0.12658227848101267,0.2468354430379747,0.0379746835443038,0.0949367088607595,0.012658227848101266,0.11392405063291139,0.0759493670886076,0.0,0.03164556962025317,0.08860759493670886,0.0,0.02531645569620253,0.006329113924050633,0.08860759493670886,0.05063291139240506,BATTERY,0.2468354430379747,0.10126582278481013,0.379746835443038,2021,2484,2021-01-01,8,1.0
2485,40,202102,2021,02,COVID,0.19658119658119658,0.1794871794871795,0.017094017094017096,0.13675213675213677,0.017094017094017096,0.05128205128205128,0.05982905982905983,0.0,0.008547008547008548,0.10256410256410256,0.008547008547008548,0.0,0.017094017094017096,0.10256410256410256,0.10256410256410256,ASSAULT,0.19658119658119658,0.09401709401709402,0.3162393162393162,2021,2485,2021-02-01,8,1.0
2486,40,202103,2021,03,COVID,0.09090909090909091,0.22727272727272727,0.01948051948051948,0.13636363636363635,0.025974025974025976,0.12987012987012986,0.06493506493506493,0.006493506493506494,0.01948051948051948,0.09740259740259741,0.0,0.012987012987012988,0.025974025974025976,0.11038961038961038,0.032467532467532464,BATTERY,0.22727272727272727,0.06493506493506493,0.33766233766233766,2021,2486,2021-03-01,0,0.5
2486,40,202103,2021,03,COVID,0.09090909090909091,0.22727272727272727,0.01948051948051948,0.13636363636363635,0.025974025974025976,0.12987012987012986,0.06493506493506493,0.006493506493506494,0.01948051948051948,0.09740259740259741,0.0,0.012987012987012988,0.025974025974025976,0.11038961038961038,0.032467532467532464,BATTERY,0.22727272727272727,0.06493506493506493,0.33766233766233766,2021,2486,2021-03-01,15,0.5
2487,40,202104,2021,04,COVID,0.09740259740259741,0.2727272727272727,0.032467532467532464,0.09740259740259741,0.025974025974025976,0.08441558441558442,0.06493506493506493,0.0,0.032467532467532464,0.09740259740259741,0.0,0.032467532467532464,0.012987012987012988,0.12337662337662338,0.025974025974025976,BATTERY,0.2727272727272727,0.05844155844155844,0.37012987012987014,2021,2487,2021-04-01,0,0.5
2487,40,202104,2021,04,COVID,0.09740259740259741,0.2727272727272727,0.032467532467532464,0.09740259740259741,0.025974025974025976,0.08441558441558442,0.06493506493506493,0.0,0.032467532467532464,0.09740259740259741,0.0,0.032467532467532464,0.012987012987012988,0.12337662337662338,0.025974025974025976,BATTERY,0.2727272727272727,0.05844155844155844,0.37012987012987014,2021,2487,2021-04-01,4,0.5
