state_id,lag_months,mean_correlation,sd_correlation,n_communities,n_start_points
8,6,0.38228248991551167,0.25931218963606845,41.0,277.0
8,7,0.4074724754006359,0.27504109597551446,41.0,261.0
8,8,0.418507552222829,0.28812474726768966,40.0,241.0
8,9,0.4148901667634704,0.2798399742832545,38.0,222.0
8,10,0.40167231801473646,0.2851713055873407,38.0,212.0
8,11,0.40499414700109704,0.28125166057646966,38.0,202.0
8,12,0.4225249841085431,0.29614479273970334,37.0,185.0
8,13,0.39991160542638887,0.2855908521614768,37.0,176.0
8,14,0.3666278178324703,0.3246281107027726,37.0,157.0
8,15,0.367886737075524,0.3066263843366663,33.0,139.0
8,16,0.34157198463757144,0.3107788920289525,30.0,121.0
8,17,0.35330827067669174,0.2930000562236796,29.0,110.0
8,18,0.3372775580820564,0.3638438425495198,29.0,102.0
8,19,0.39174393895489235,0.3985138257403906,29.0,97.0
8,20,0.4137253937734098,0.3804681427818319,29.0,96.0
8,21,0.42991860991220454,0.3792633924310985,29.0,95.0
8,22,0.4231034895084334,0.33840238123499544,29.0,91.0
8,23,0.35328491577626525,0.3593919864266552,29.0,85.0
8,24,0.36003334953831784,0.3926577180103026,28.0,79.0
8,25,0.3128212991406395,0.30557029075635045,25.0,69.0
8,26,0.24982256139689718,0.2409224560491138,24.0,61.0
8,27,0.3758169934640523,0.4189935029992179,22.0,51.0
8,28,0.34005844089100334,0.4053441911220663,21.0,47.0
8,29,0.27448979591836736,0.42338514699364727,19.0,42.0
8,30,0.2949248120300752,0.37907626258904253,18.0,38.0
8,31,0.4446759259259259,0.44282935197129863,17.0,36.0
8,32,0.3546218487394958,0.3818857613133508,15.0,34.0
8,33,0.29720982142857144,0.411444485472646,15.0,32.0
8,34,0.44523809523809527,0.3940966497093946,15.0,28.0
8,35,0.44894688644688646,0.39935404664650676,15.0,26.0
8,36,0.29347826086956524,0.44437623484524696,15.0,23.0
9,1,0.5281460794520302,0.28289556740231236,54.0,674.0
9,2,0.4832120805606685,0.2768596587961438,54.0,671.0
9,3,0.45032474820570156,0.25662692488627886,54.0,670.0
9,4,0.4303700255613071,0.25213678486661273,54.0,668.0
9,5,0.4343416354611258,0.24451206991067378,54.0,666.0
9,6,0.40129997236891607,0.23619463585666778,54.0,665.0
9,7,0.4017381468990243,0.22739357911019292,53.0,664.0
9,8,0.36942444783179446,0.21099673511046943,53.0,664.0
9,9,0.3467592494956725,0.20497101909372487,53.0,663.0
9,10,0.3332030302011913,0.1897426386456799,53.0,662.0
9,11,0.3197627952373282,0.1893003915669374,53.0,660.0
9,12,0.3257544987609671,0.18941961949166505,53.0,659.0
9,13,0.30845919721849474,0.17683408180473445,53.0,658.0
9,14,0.2861277104546547,0.16175762818833186,53.0,658.0
9,15,0.2754568133403671,0.15817338199713615,53.0,657.0
9,16,0.2608144542843356,0.1438934218124357,52.0,655.0
9,17,0.25228414354538464,0.14405105002305515,51.0,652.0
9,18,0.20900273206059936,0.14012623289925716,51.0,650.0
9,19,0.20980745207950566,0.14220191866311307,51.0,648.0
9,20,0.1892738675700546,0.12600167589334177,51.0,640.0
9,21,0.1774108892454766,0.12228255592564494,51.0,635.0
9,22,0.15783218571542998,0.11085554965480345,51.0,631.0
9,23,0.14001562646991494,0.10806139648369463,50.0,627.0
9,24,0.1274435144912506,0.11325422133292723,50.0,624.0
9,25,0.11106288082940693,0.11539100656089694,50.0,622.0
9,26,0.09250689561085608,0.10754492895667844,50.0,618.0
9,27,0.06881526749831378,0.08381551335620552,50.0,615.0
9,28,0.06293383723322545,0.08014361003712246,50.0,613.0
9,29,0.056972086046535045,0.06521022045597187,50.0,609.0
9,30,0.06996710118016732,0.10448049602872123,49.0,604.0
9,31,0.06961315999016723,0.11564519906325596,49.0,599.0
9,32,0.059483056378523344,0.10063220583882179,47.0,595.0
9,33,0.05146623684728663,0.0999911206097089,47.0,589.0
9,34,0.03694384676848708,0.05903618825507214,47.0,583.0
9,35,0.05015294916207176,0.09860055776521605,47.0,577.0
9,36,0.05518480367812978,0.07924324977374961,47.0,575.0
10,1,0.07150675804302302,0.08393024826124205,37.0,103.0
10,2,0.0724718837225976,0.07725934370644229,37.0,103.0
10,3,0.026699029126213587,0.03409722795606149,37.0,103.0
10,4,0.06689467490438364,0.10772785491510035,37.0,103.0
10,5,0.07402912621359223,0.10012817111408083,37.0,103.0
10,6,0.0875235795995362,0.11266482088336832,37.0,103.0
10,7,0.06354192162301814,0.07329731110847067,37.0,103.0
10,8,0.055732222279909316,0.06476498353191783,37.0,103.0
10,9,0.051548774849745724,0.077182008944323,37.0,103.0
10,10,0.03931303324507208,0.07520816108235,37.0,103.0
10,11,0.04011684108771487,0.05204878056305963,37.0,103.0
10,12,0.06237128567225654,0.0722544071284737,37.0,103.0
10,13,0.04674725141601212,0.05524228464927366,37.0,103.0
10,14,0.049928179568385155,0.07319098570526215,37.0,103.0
10,15,0.011350656767561392,0.017659975514520584,37.0,103.0
10,16,0.016181229773462782,0.04296039566386229,37.0,103.0
10,17,0.008090614886731391,0.0191036195945938,37.0,103.0
10,18,0.0317327688651218,0.04088492767245473,37.0,102.0
10,19,0.03523109886746251,0.08410569530572161,37.0,99.0
10,20,0.03865403304178814,0.06726243468291358,37.0,98.0
10,21,0.011943413729128015,0.02507186949475998,37.0,98.0
10,22,0.02291666666666667,0.08861632385092975,37.0,96.0
10,23,0.021135265700483092,0.16812996661836652,36.0,92.0
10,24,0.017094017094017092,0.033395522442125174,35.0,91.0
10,25,0.020643939393939395,0.034812985677812734,35.0,90.0
10,26,0.04393939393939394,0.08329975942422249,35.0,90.0
10,27,0.0,0.0,35.0,90.0
10,28,0.009339080459770116,0.02334321019450568,35.0,87.0
10,29,0.005087209302325582,0.010564428184106458,35.0,86.0
10,30,0.012990196078431372,0.0297951494996554,35.0,85.0
10,31,0.019464285714285715,0.029065358433735086,35.0,80.0
10,32,0.011904761904761906,0.0862516050407903,34.0,78.0
10,33,0.026106934001670846,0.06048581751715845,34.0,76.0
10,34,0.016216216216216217,0.032884681203758766,34.0,74.0
10,35,0.008528784648187633,0.024868236565099688,33.0,67.0
10,36,0.014508928571428572,0.031677954399983756,32.0,64.0
11,1,0.5702231153160765,0.2981315894011768,16.0,177.0
11,2,0.5266862733686872,0.26407087042724486,16.0,177.0
11,3,0.43480766204419824,0.24033672658297545,16.0,177.0
11,4,0.42319150468378874,0.22494513593841337,16.0,177.0
11,5,0.3883019583592692,0.22608188418799427,16.0,177.0
11,6,0.3703866122062153,0.21033889274735618,16.0,177.0
11,7,0.36301958285731367,0.20951994725393608,16.0,177.0
11,8,0.34848399105230876,0.19733604604146945,16.0,177.0
11,9,0.3564592908666785,0.1957827246144479,16.0,177.0
11,10,0.3626377131772575,0.19267984755825915,16.0,177.0
11,11,0.3924092389065027,0.21272063914979764,16.0,176.0
11,12,0.40985883508715754,0.21045566098113608,16.0,175.0
11,13,0.36923634246218934,0.20751263833898062,16.0,175.0
11,14,0.3351914102329507,0.18499677323594296,16.0,175.0
11,15,0.2975326629505618,0.17685419286567086,16.0,175.0
11,16,0.2904748084861785,0.16858439813628504,16.0,175.0
11,17,0.24204590097099876,0.16229785876902603,16.0,175.0
11,18,0.24550363022072416,0.1606225612558317,16.0,174.0
11,19,0.23767083869887326,0.15446534810292367,16.0,172.0
11,20,0.24493684334692323,0.1528119652441473,16.0,170.0
11,21,0.25502329948975844,0.1571514289707422,16.0,168.0
11,22,0.24022896832768148,0.14930087019471824,16.0,166.0
11,23,0.26586337910982855,0.164524261343891,16.0,162.0
11,24,0.2521806136559687,0.1593110254598286,16.0,162.0
11,25,0.217693628998558,0.14194760628250067,16.0,162.0
11,26,0.19662487993147978,0.12900016304512416,16.0,162.0
11,27,0.17179971091750543,0.1153098034806328,16.0,162.0
11,28,0.17502758021595127,0.11850217732041174,16.0,160.0
11,29,0.16830982277862827,0.11168150630839344,16.0,159.0
11,30,0.15857545468034187,0.10582229422603896,16.0,158.0
11,31,0.1584876281580349,0.1075541320438742,16.0,156.0
11,32,0.17653984482409857,0.11976566384070897,16.0,153.0
11,33,0.19309047485014172,0.130160584823413,16.0,151.0
11,34,0.20506115359056534,0.1409195820472729,16.0,148.0
11,35,0.21873479047958214,0.15366867625723526,16.0,144.0
11,36,0.2252645880966564,0.16067160411121484,16.0,140.0
12,1,0.30368671976945955,0.19568478462899658,29.0,178.0
12,2,0.35839375952238933,0.2218450575813349,29.0,174.0
12,3,0.31821188532634875,0.19835219969911194,29.0,170.0
12,4,0.3217180198280677,0.20078925973535267,29.0,165.0
12,5,0.2772157885336427,0.19294048238898956,28.0,160.0
12,6,0.2914402416949425,0.1871195612348431,28.0,155.0
12,7,0.34991152362475886,0.22927873834547097,27.0,148.0
12,8,0.2768631073118903,0.19350527068427475,27.0,145.0
12,9,0.23015251652218485,0.16112769095015678,27.0,138.0
12,10,0.2473791080657511,0.18320538393646424,27.0,133.0
12,11,0.26313325202689086,0.19848739322399034,27.0,129.0
12,12,0.27224490730115064,0.21626992096518274,27.0,122.0
12,13,0.25099700487016663,0.1895418416699668,25.0,111.0
12,14,0.32320678774816397,0.2384650854189485,24.0,106.0
12,15,0.2846453954858401,0.26163911212541263,24.0,99.0
12,16,0.2846888231475225,0.23906141120057328,23.0,93.0
12,17,0.27948055672252975,0.2067090626076691,21.0,89.0
12,18,0.3072489720582494,0.223481504845457,21.0,85.0
12,19,0.24576587678050926,0.2307755033949451,20.0,80.0
12,20,0.28190337927180037,0.216411029085475,20.0,78.0
12,21,0.36944623956585676,0.32679041511455476,20.0,77.0
12,22,0.33552147413989514,0.2615816487400391,20.0,76.0
